Country,2011 Total emissions (kilotonnes),year,level,Code,
United States of America,11899,2011,5,USA,
Russian Federation*,2369,2011,1,RUS,
Australia,2369,2011,1,AUS,75.239
Canada,1882,2011,1,CAN,
Japan,1679,2011,1,JPN,
Germany,1293,2011,1,DEU,
United Kingdom,1033,2011,1,GBR,
France,1005,2011,1,FRA,
Italy,930,2011,0,ITA,
Sweden,145,2011,0,SWE,
Greece,0,2008,UNKNOWN,GRC,
Austria,0,2008,UNKNOWN,AUT,
Belgium,0,2008,UNKNOWN,BEL,
Switzerland,0,2008,UNKNOWN,CHE,
Czech Republic,0,2008,UNKNOWN,CZE,
Denmark,0,2008,UNKNOWN,DNK,
Estonia,0,2008,UNKNOWN,EST,
Spain,0,2008,UNKNOWN,ESP,
Finland,0,2008,UNKNOWN,FIN,
Latvia,0,2008,UNKNOWN,LVA,
Netherlands,0,2008,UNKNOWN,NLD,
Norway,0,2008,UNKNOWN,NOR,
Poland,0,2008,UNKNOWN,POL,
Portugal,0,2008,UNKNOWN,PRT,
Slovakia,0,2008,UNKNOWN,SVK,
Mongolia,0,2008,UNKNOWN,MNG,
Philippines,0,2007,UNKNOWN,PHL,
Singapore,0,2009,UNKNOWN,SGP,
Ghana,0,2008,UNKNOWN,GHA,
Madagascar,0,2003,UNKNOWN,MDG,
Mauritius,0,2009,UNKNOWN,MUS,
Senegal,0,2010,UNKNOWN,SEN,
Tanzania,0,2006,UNKNOWN,TZA,
Kuwait,0,2003,UNKNOWN,KWT,
Lebanon,0,2004,UNKNOWN,LBN,
Brazil,0,2009,UNKNOWN,BRA,
Chile,0,2008,UNKNOWN,CHL,
Ecuador,0,2009,UNKNOWN,ECU,
Mexico,0,2009,UNKNOWN,MEX,
Peru,0,2010,UNKNOWN,PER,
Latvia,0,2008,UNKNOWN,LVA,
United Arab Emirates,0,2010,UNKNOWN,ARE,
China,0,2010,UNKNOWN,CHN,
Qatar,0,2010,UNKNOWN,QAT,
Mauritania,0,2010,UNKNOWN,MRT,
Saudi Arabia,0,2010,UNKNOWN,SAU,
Bahrain,0,2010,UNKNOWN,BHR,
Turkmenistan,0,2010,UNKNOWN,TKM,
Pakistan,0,2010,UNKNOWN,PAK,
"Korea, South (D.P.R.O)",0,2010,UNKNOWN,PRK,
Libya,0,2010,UNKNOWN,LBY,
Niger,0,2010,UNKNOWN,NER,
Gambia,0,2010,UNKNOWN,GMB,
Oman,0,2010,UNKNOWN,OMN,
Mali,0,2010,UNKNOWN,MLI,
Chad,0,2010,UNKNOWN,TCD,
Nepal,0,2010,UNKNOWN,NPL,
"Egypt, Arab Rep",0,2010,UNKNOWN,EGY,
India,0,2010,UNKNOWN,IND,
"Korea, North",0,2010,UNKNOWN,KOR,
Guinea-Bissau,0,2010,UNKNOWN,GNB,
Bangladesh,0,2010,UNKNOWN,BGD,
Iraq,0,2010,UNKNOWN,IRQ,
"Yemen, rep.",0,2010,UNKNOWN,YEM,
Vietnam,0,2010,UNKNOWN,VNM,
"Iran, Islamic Rep.",0,2010,UNKNOWN,IRN,
Jordan,0,2010,UNKNOWN,JOR,
Burkina Faso,0,2010,UNKNOWN,BFA,
Nigeria,0,2010,UNKNOWN,NGA,
Djibouti,0,2010,UNKNOWN,DJI,
Israel,0,2010,UNKNOWN,ISR,
Syrian Arab Republic,0,2010,UNKNOWN,SYR,
Sudan,0,2010,UNKNOWN,SDN,
Eritrea,0,2010,UNKNOWN,ERI,
Afghanistan,0,2010,UNKNOWN,AFG,
Guinea,0,2010,UNKNOWN,GIN,
Cameroon,0,2010,UNKNOWN,CMR,
Uzbekistan,0,2010,UNKNOWN,UZB,
Algeria,0,2010,UNKNOWN,DZA,
Benin,0,2010,UNKNOWN,BEN,
Myanmar,0,2010,UNKNOWN,MMR,
Bhutan,0,2010,UNKNOWN,BTN,
Malta,0,2010,UNKNOWN,MLT,
Thailand,0,2010,UNKNOWN,THA,
Togo,0,2010,UNKNOWN,TGO,
Morocco,0,2010,UNKNOWN,MAR,
Barbados,0,2010,UNKNOWN,BRB,
Central African Republic,0,2010,UNKNOWN,CAF,
Tunsia,0,2010,UNKNOWN,TUN,
Cyprus,0,2010,UNKNOWN,CYP,
Armenia,0,2010,UNKNOWN,ARM,
Dominica,0,2010,UNKNOWN,DMA,
