Country,Kg/capita,year,level,Code
Afghanistan,,2010,UNKNOWN,AFG
Albania,,2010,UNKNOWN,ALB
Algeria,,2010,UNKNOWN,DZA
Andorra,,2010,UNKNOWN,AND
Angola,,2010,UNKNOWN,AGO
Antigua and Barbuda,,2010,UNKNOWN,ATG
Argentina,,2010,UNKNOWN,ARG
Armenia,,2010,UNKNOWN,ARM
Australia,102.886,2011,3,AUS
Austria,2.04,2008,0,AUT
Azerbaijan,,2010,UNKNOWN,AZE
Bahamas,,2010,UNKNOWN,BHS
Bahrain,,2010,UNKNOWN,BHR
Bangladesh,,2010,UNKNOWN,BGD
Barbados,,2010,UNKNOWN,BRB
Belarus,,2010,UNKNOWN,BLR
Belgium,4.32,2008,0,BEL
Belize,,2010,UNKNOWN,BLZ
Benin,,2010,UNKNOWN,BEN
Bhutan,,2010,UNKNOWN,BTN
BolIvia,,2010,UNKNOWN,BOL
Bosnia and Herzegovina,,2010,UNKNOWN,BIH
Botswana,,2010,UNKNOWN,BWA
Brazil,,2009,UNKNOWN,BRA
Brunei Darussalam,,2010,UNKNOWN,BRN
Bulgaria,,2010,UNKNOWN,BGR
Burkina Faso,,2010,UNKNOWN,BFA
Burundi,,2010,UNKNOWN,BDI
Cambodia,,2010,UNKNOWN,KHM
Cameroon,,2010,UNKNOWN,CMR
Canada,36.92,2011,2,CAN
Central African Republic,,2010,UNKNOWN,CAF
Chad,,2010,UNKNOWN,TCD
Chile,,2008,UNKNOWN,CHL
Chile,,2010,UNKNOWN,CHL
China,,2010,UNKNOWN,CHN
Colombia,,2010,UNKNOWN,COL
Comoros,,2010,UNKNOWN,COM
"Congo, Dem. Rep",,2010,UNKNOWN,COD
"Congo, Rep.",,2010,UNKNOWN,COG
Costa Rica,,2010,UNKNOWN,CRI
Cote d'lvoire,,2010,UNKNOWN,CIV
Croatia,,2010,UNKNOWN,HRV
Cuba,,2010,UNKNOWN,CUB
Cyprus,,2010,UNKNOWN,CYP
Czech Republic,15.03,2008,1,CZE
Denmark,2.23,2008,0,DNK
Djibouti,,2010,UNKNOWN,DJI
Dominica,,2010,UNKNOWN,DMA
Ecuador,,2009,UNKNOWN,ECU
"Egypt, Arab Rep",,2010,UNKNOWN,EGY
El Salvadar,,2010,UNKNOWN,SLV
Equatorial Guinea,,2010,UNKNOWN,GNQ
Eritrea,,2010,UNKNOWN,ERI
Estonia,30.52,2008,2,EST
Estonia,,2010,UNKNOWN,EST
Ethiopia,,2010,UNKNOWN,ETH
Fiji,,2010,UNKNOWN,FJI
Finland,9.5,2008,0,FIN
France,3.66,2011,1,FRA
Gabon,,2010,UNKNOWN,GAB
Gambia,,2010,UNKNOWN,GMB
Georgia,,2010,UNKNOWN,GEO
Germany,5.21,2011,1,DEU
Ghana,,2008,UNKNOWN,GHA
Greece,22.08,2008,1,GRC
Grenada,,2010,UNKNOWN,GRD
Guinea,,2010,UNKNOWN,GIN
Guinea-Bissau,,2010,UNKNOWN,GNB
Gutemala,,2010,UNKNOWN,GTM
Guyana,,2010,UNKNOWN,GUY
Haiti,,2010,UNKNOWN,HTI
Honduras,,2010,UNKNOWN,HND
Hungary,3.21,2010,2,HUN
Iceland,261.55,2010,5,ISL
India,,2010,UNKNOWN,IND
Indonesia,,2010,UNKNOWN,IDN
"Iran, Islamic Rep.",,2010,UNKNOWN,IRN
Iraq,,2010,UNKNOWN,IRQ
Ireland,5.06,2010,0,IRL
Israel,22.4,2010,1,ISR
Italy,2.94,2011,0,ITA
Jamaica,,2010,UNKNOWN,JAM
Japan,7.35,2011,1,JPN
Jordan,,2010,UNKNOWN,JOR
Kazakhstan,,2010,UNKNOWN,KAZ
Kenya,,2010,UNKNOWN,KEN
Kiribati,,2010,UNKNOWN,KIR
"Korea, North",,2010,UNKNOWN,KOR
"Korea, South (D.P.R.O)",,2010,UNKNOWN,PRK
Kuwait,,2003,UNKNOWN,KWT
Kyrgyz Republic,,2010,UNKNOWN,KGZ
Latvia,,2008,UNKNOWN,LVA
Latvia,,2008,UNKNOWN,LVA
Lebanon,,2004,UNKNOWN,LBN
Lesotho,,2010,UNKNOWN,LSO
Liberia,,2010,UNKNOWN,LBR
Libya,,2010,UNKNOWN,LBY
Lithuania,,2010,UNKNOWN,LTU
Luxembourg,3.73,2010,0,LUX
"Macedonia, FYR",,2010,UNKNOWN,MKD
Madagascar,,2003,UNKNOWN,MDG
Malawi,,2010,UNKNOWN,MWI
Malaysia,,2010,UNKNOWN,MYS
Maldives,,2010,UNKNOWN,MDV
Mali,,2010,UNKNOWN,MLI
Malta,,2010,UNKNOWN,MLT
Marshall Islands,,2010,UNKNOWN,MHL
Mauritania,,2010,UNKNOWN,MRT
Mauritius,,2009,UNKNOWN,MUS
Mexico,,2009,UNKNOWN,MEX
"Micronesia, Fed Sts",,2010,UNKNOWN,FSM
Moldova,,2010,UNKNOWN,MDA
Mongolia,,2008,UNKNOWN,MNG
Montenegro,,2010,UNKNOWN,MNE
Morocco,,2010,UNKNOWN,MAR
Mozambique,,2010,UNKNOWN,MOZ
Myanmar,,2010,UNKNOWN,MMR
Nambia,,2010,UNKNOWN,NAM
Nepal,,2010,UNKNOWN,NPL
Netherlands,2.02,2008,0,NLD
New Zealand,17.63,2010,1,NZL
Nicaragua,,2010,UNKNOWN,NIC
Niger,,2010,UNKNOWN,NER
Nigeria,,2010,UNKNOWN,NGA
Norway,3.32,2008,0,NOR
Oman,,2010,UNKNOWN,OMN
Pakistan,,2010,UNKNOWN,PAK
Panama,,2010,UNKNOWN,PAN
Papua New Guinea,,2010,UNKNOWN,PNG
Paraguay,,2010,UNKNOWN,PRY
Peru,,2010,UNKNOWN,PER
Philippines,,2007,UNKNOWN,PHL
Phillipines,,2010,UNKNOWN,PHL
Poland,22.14,2008,1,POL
Portugal,5.63,2008,0,PRT
Qatar,,2010,UNKNOWN,QAT
Romania,,2010,UNKNOWN,ROU
Russian Federation*,30.97,2011,2,RUS
Rwanda,,2010,UNKNOWN,RWA
Samoa,,2010,UNKNOWN,WSM
Sao Tome and Principe,,2010,UNKNOWN,STP
Saudi Arabia,,2010,UNKNOWN,SAU
