Country,Kg/capita ,year,level,Code
Afghanistan,,2012,UNKNOWN,AFG
Albania,,2012,UNKNOWN,ALB
Algeria,,2012,UNKNOWN,DZA
Andorra,,2012,UNKNOWN,AND
Angola,,2012,UNKNOWN,AGO
Antigua and Barbuda,,2012,UNKNOWN,ATG
Argentina,,2012,UNKNOWN,ARG
Armenia,,2012,UNKNOWN,ARM
Australia,47.825,2012,4,AUS
Austria,16.078,2012,1,AUT
Azerbaijan,,2012,UNKNOWN,AZE
Bahamas,,2012,UNKNOWN,BHS
Bahrain,,2012,UNKNOWN,BHR
Bangladesh,,2012,UNKNOWN,BGD
Barbados,,2012,UNKNOWN,BRB
Belarus,,2012,UNKNOWN,BLR
Belgium,9.33,2012,0,BEL
Belize,,2012,UNKNOWN,BLZ
Benin,,2012,UNKNOWN,BEN
Bhutan,,2012,UNKNOWN,BTN
BolIvia,,2012,UNKNOWN,BOL
Bosnia and Herzegovina,,2012,UNKNOWN,BIH
Botswana,,2012,UNKNOWN,BWA
Brazil,,2012,UNKNOWN,BRA
Brunei Darussalam,,2012,UNKNOWN,BRN
Bulgaria,,2012,UNKNOWN,BGR
Burkina Faso,,2012,UNKNOWN,BFA
Burundi,,2012,UNKNOWN,BDI
Cambodia,,2012,UNKNOWN,KHM
Cameroon,,2012,UNKNOWN,CMR
Canada,58.1,2012,5,CAN
Central African Republic,,2012,UNKNOWN,CAF
Chad,,2012,UNKNOWN,TCD
Chile,,2012,UNKNOWN,CHL
Chile,,2012,UNKNOWN,CHL
China,,2012,UNKNOWN,CHN
Colombia,,2012,UNKNOWN,COL
Comoros,,2012,UNKNOWN,COM
"Congo, Dem. Rep",,2012,UNKNOWN,COD
"Congo, Rep.",,2012,UNKNOWN,COG
Costa Rica,,2012,UNKNOWN,CRI
Cote d'lvoire,,2012,UNKNOWN,CIV
Croatia,,2012,UNKNOWN,HRV
Cuba,,2012,UNKNOWN,CUB
Cyprus,,2012,UNKNOWN,CYP
Czech Republic,12.24,2012,1,CZE
Denmark,14.13,2012,1,DNK
Djibouti,,2012,UNKNOWN,DJI
Dominica,,2012,UNKNOWN,DMA
Ecuador,,2012,UNKNOWN,ECU
"Egypt, Arab Rep",,2012,UNKNOWN,EGY
El Salvadar,,2012,UNKNOWN,SLV
Equatorial Guinea,,2012,UNKNOWN,GNQ
Eritrea,,2012,UNKNOWN,ERI
Estonia,25.37,2012,2,EST
Estonia,,2012,UNKNOWN,EST
Ethiopia,,2012,UNKNOWN,ETH
Fiji,,2012,UNKNOWN,FJI
Finland,19.21,2012,1,FIN
France,11.19,2012,1,ITA
Gabon,,2012,UNKNOWN,GAB
Gambia,,2012,UNKNOWN,GMB
Georgia,,2012,UNKNOWN,GEO
Germany,11.62,2012,1,DEU
Ghana,,2012,UNKNOWN,GHA
Greece,13.69,2012,1,GRC
Grenada,,2012,UNKNOWN,GRD
Guinea,,2012,UNKNOWN,GIN
Guinea-Bissau,,2012,UNKNOWN,GNB
Gutemala,,2012,UNKNOWN,GTM
Guyana,,2012,UNKNOWN,GUY
Haiti,,2012,UNKNOWN,HTI
Honduras,,2012,UNKNOWN,HND
Hungary,10.44,2012,1,HUN
Iceland,15.83,2012,1,ISL
India,,2012,UNKNOWN,IND
Indonesia,,2012,UNKNOWN,IDN
"Iran, Islamic Rep.",,2012,UNKNOWN,IRN
Iraq,,2012,UNKNOWN,IRQ
Ireland,9.48,2012,0,IRL
Israel,34.36,2012,3,ISR
Italy,14.12,2012,1,GBR
Jamaica,,2012,UNKNOWN,JAM
Japan,12.06,2012,1,JPN
Jordan,,2012,UNKNOWN,JOR
Kazakhstan,,2012,UNKNOWN,KAZ
Kenya,,2012,UNKNOWN,KEN
Kiribati,,2012,UNKNOWN,KIR
Korea,17.02,2012,1,KOR
"Korea, South (D.P.R.O)",,2012,UNKNOWN,PRK
Kuwait,,2012,UNKNOWN,KWT
Kyrgyz Republic,,2012,UNKNOWN,KGZ
Latvia,,2012,UNKNOWN,LVA
Latvia,,2012,UNKNOWN,LVA
Lebanon,,2012,UNKNOWN,LBN
Lesotho,,2012,UNKNOWN,LSO
Liberia,,2012,UNKNOWN,LBR
Libya,,2012,UNKNOWN,LBY
Lithuania,,2012,UNKNOWN,LTU
Luxembourg,16.04,2012,1,LUX
"Macedonia, FYR",,2012,UNKNOWN,MKD
Madagascar,,2012,UNKNOWN,MDG
Malawi,,2012,UNKNOWN,MWI
Malaysia,,2012,UNKNOWN,MYS
Maldives,,2012,UNKNOWN,MDV
Mali,,2012,UNKNOWN,MLI
Malta,,2012,UNKNOWN,MLT
Marshall Islands,,2012,UNKNOWN,MHL
Mauritania,,2012,UNKNOWN,MRT
Mauritius,,2012,UNKNOWN,MUS
Mexico,,2012,UNKNOWN,MEX
"Micronesia, Fed Sts",,2012,UNKNOWN,FSM
Moldova,,2012,UNKNOWN,MDA
Mongolia,,2012,UNKNOWN,MNG
Montenegro,,2012,UNKNOWN,MNE
Morocco,,2012,UNKNOWN,MAR
Mozambique,,2012,UNKNOWN,MOZ
Myanmar,,2012,UNKNOWN,MMR
Nambia,,2012,UNKNOWN,NAM
Nepal,,2012,UNKNOWN,NPL
Netherlands,8.63,2012,0,NLD
New Zealand,38.32,2012,3,NZL
Nicaragua,,2012,UNKNOWN,NIC
Niger,,2012,UNKNOWN,NER
Nigeria,,2012,UNKNOWN,NGA
Norway,27.36,2012,2,NOR
Oman,,2012,UNKNOWN,OMN
Pakistan,,2012,UNKNOWN,PAK
Panama,,2012,UNKNOWN,PAN
Papua New Guinea,,2012,UNKNOWN,PNG
Paraguay,,2012,UNKNOWN,PRY
Peru,,2012,UNKNOWN,PER
Philippines,,2012,UNKNOWN,PHL
Phillipines,,2012,UNKNOWN,PHL
Poland,16.36,2012,1,POL
Portugal,16.62,2012,1,PRT
Qatar,,2012,UNKNOWN,QAT
Romania,,2012,UNKNOWN,ROU
Russian Federation*,17.91,2012,1,RUS
Rwanda,,2012,UNKNOWN,RWA
Samoa,,2012,UNKNOWN,WSM
Sao Tome and Principe,,2012,UNKNOWN,STP
Saudi Arabia,,2012,UNKNOWN,SAU
Senegal,,2012,UNKNOWN,SEN
Serbia,,2012,UNKNOWN,SRB
Seychelles,,2012,UNKNOWN,SYC
Sierra Leone,,2012,UNKNOWN,SLE
Singapore,,2012,UNKNOWN,SGP
Slovakia,11.31,2012,1,SVK
Slovenia,19.2,2012,1,SVN
Solomon Islands,,2012,UNKNOWN,SLB
Somalia,,2012,UNKNOWN,SOM
South Africa,,2012,UNKNOWN,ZAF
Spain,12.96,2012,1,ESP
Sri Lanka,,2012,UNKNOWN,LKA
Sudan,,2012,UNKNOWN,SDN
Suriname,,2012,UNKNOWN,SUR
Swaziland,,2012,UNKNOWN,SWZ
Sweden,19.52,2012,1,SWE
Switzerland,10.66,2012,1,CHE
Syrian Arab Republic,,2012,UNKNOWN,SYR
Tajikistan,,2012,UNKNOWN,TJK
Tanzania,,2012,UNKNOWN,TZA
Thailand,,2012,UNKNOWN,THA
Togo,,2012,UNKNOWN,TGO
Tonga,,2012,UNKNOWN,TON
Trinidad and Tobago,,2012,UNKNOWN,TTO
Tunsia,,2012,UNKNOWN,TUN
Turkey,14.36,2012,1,TUR
Turkmenistan,,2012,UNKNOWN,TKM
Uganda,,2012,UNKNOWN,UGA
Ukraine,,2012,UNKNOWN,UKR
United Arab Emirates,,2012,UNKNOWN,ARE
United Kingdom,13.05,2012,1,FRA
United States of America,42.3,2012,4,USA
Uruguay,,2012,UNKNOWN,URY
Uzbekistan,,2012,UNKNOWN,UZB
Vanuatu,,2012,UNKNOWN,VUT
"Venezuela, RB",,2012,UNKNOWN,VEN
Vietnam,,2012,UNKNOWN,VNM
"Yemen, rep.",,2012,UNKNOWN,YEM
Zambia,,2012,UNKNOWN,ZMB
Zimbabwe,,2012,UNKNOWN,ZWE
