Country,Annual mean PM10 ug/m3,Year,level,code
Afghanistan,0,2010,UNKNOWN,AFG
Albania,0,2010,UNKNOWN,ALB
Algeria,0,2010,UNKNOWN,DZA
Andorra,0,2010,UNKNOWN,AND
Angola,0,2010,UNKNOWN,AGO
Antigua and Barbuda,0,2010,UNKNOWN,ATG
Argentina,0,2010,UNKNOWN,ARG
Armenia,0,2010,UNKNOWN,ARM
Australia,15.39,2006,1,AUS
Australia,15.39,2006,1,AUS
Austria,33.03,2006,2,AUT
Azerbaijan,0,2010,UNKNOWN,AZE
Bahamas,0,2010,UNKNOWN,BHS
Bahrain,0,2010,UNKNOWN,BHR
Bangladesh,0,2010,UNKNOWN,BGD
Barbados,0,2010,UNKNOWN,BRB
Belarus,0,2010,UNKNOWN,BLR
Belgium,22.47,2006,2,BEL
Belize,0,2010,UNKNOWN,BLZ
Benin,0,2010,UNKNOWN,BEN
Bhutan,0,2010,UNKNOWN,BTN
BolIvia,0,2010,UNKNOWN,BOL
Bosnia and Herzegovina,0,2010,UNKNOWN,BIH
Botswana,0,2010,UNKNOWN,BWA
Brazil,22.34,2006,2,BRA
Brunei Darussalam,0,2010,UNKNOWN,BRN
Bulgaria,0,2010,UNKNOWN,BGR
Burkina Faso,0,2010,UNKNOWN,BFA
Burundi,0,2010,UNKNOWN,BDI
Cambodia,0,2010,UNKNOWN,KHM
Cameroon,0,2010,UNKNOWN,CMR
Canada,17.39,2006,1,CAN
Central African Republic,0,2010,UNKNOWN,CAF
Chad,0,2010,UNKNOWN,TCD
Chile,47.8,2006,3,CHL
Chile,0,2010,UNKNOWN,CHL
China,0,2010,UNKNOWN,CHN
Colombia,0,2010,UNKNOWN,COL
Comoros,0,2010,UNKNOWN,COM
"Congo, Dem. Rep",0,2010,UNKNOWN,COD
"Congo, Rep.",0,2010,UNKNOWN,COG
Costa Rica,0,2010,UNKNOWN,CRI
Cote d'lvoire,0,2010,UNKNOWN,CIV
Croatia,0,2010,UNKNOWN,HRV
Cuba,0,2010,UNKNOWN,CUB
Cyprus,0,2010,UNKNOWN,CYP
Czech Republic,20.95,2006,2,CZE
Denmark,18.68,2006,1,DNK
Djibouti,0,2010,UNKNOWN,DJI
Dominica,0,2010,UNKNOWN,DMA
Ecuador,24.76,2006,2,ECU
"Egypt, Arab Rep",0,2010,UNKNOWN,EGY
El Salvadar,0,2010,UNKNOWN,SLV
Equatorial Guinea,0,2010,UNKNOWN,GNQ
Eritrea,0,2010,UNKNOWN,ERI
Estonia,12.95,2006,1,EST
Estonia,0,2010,UNKNOWN,EST
Ethiopia,0,2010,UNKNOWN,ETH
Fiji,0,2010,UNKNOWN,FJI
Finland,17.8,2006,1,FIN
France,13.38,2006,1,FRA
Gabon,0,2010,UNKNOWN,GAB
Gambia,0,2010,UNKNOWN,GMB
Georgia,0,2010,UNKNOWN,GEO
Germany,18.58,2006,1,DEU
Ghana,34.46,2006,2,GHA
Greece,35.97,2006,2,GRC
Grenada,0,2010,UNKNOWN,GRD
Guinea,0,2010,UNKNOWN,GIN
Guinea-Bissau,0,2010,UNKNOWN,GNB
Gutemala,0,2010,UNKNOWN,GTM
Guyana,0,2010,UNKNOWN,GUY
Haiti,0,2010,UNKNOWN,HTI
Honduras,0,2010,UNKNOWN,HND
Hungary,0,2010,UNKNOWN,HUN
Iceland,0,2010,UNKNOWN,ISL
