Country,1E10 g/year,year,level,Code
Afghanistan,0,2010,UNKNOWN,AFG
Albania,0,2010,UNKNOWN,ALB
Algeria,0,2010,UNKNOWN,DZA
Andorra,0,2010,UNKNOWN,AND
Angola,300,2010,5,AGO
Antigua and Barbuda,0,2010,UNKNOWN,ATG
Argentina,25,2010,2,ARG
Armenia,0,2010,UNKNOWN,ARM
South Sudan,0,2006,UNKNOWN,SSD
Australia,92,2010,3,AUS
Austria,0,2010,UNKNOWN,AUT
Azerbaijan,1,2010,0,AZE
Bahamas,0,2010,UNKNOWN,BHS
Bahrain,0,2010,UNKNOWN,BHR
Bangladesh,1,2010,0,BGD
Barbados,0,2010,UNKNOWN,BRB
Belarus,0,2010,UNKNOWN,BLR
Belgium,0,2010,UNKNOWN,BEL
Belize,0,2010,UNKNOWN,BLZ
Benin,9,2010,1,BEN
Bhutan,0,2010,UNKNOWN,BTN
BolIvia,371,2010,5,BOL
Bosnia and Herzegovina,0,2010,UNKNOWN,BIH
Botswana,35,2010,2,BWA
Brazil,0,2010,UNKNOWN,BRA
Brunei Darussalam,0,2010,UNKNOWN,BRN
Bulgaria,0,2010,UNKNOWN,BGR
Burkina Faso,7,2010,0,BFA
Burundi,0,2010,UNKNOWN,BDI
Cambodia,49,2010,2,KHM
Cameroon,36,2010,2,CMR
Canada,313,2010,5,CAN
Central African Republic,181,2010,4,CAF
Chad,41,2010,2,TCD
Chile,1,2010,0,CHL
China,18,2010,1,CHN
Colombia,2,2010,0,COL
Comoros,0,2010,UNKNOWN,COM
"Congo, Dem. Rep",278,2010,5,COD
"Congo, Rep.",11,2010,1,COG
Costa Rica,0,2010,UNKNOWN,CRI
Cote d'lvoire,0,2010,UNKNOWN,CIV
Croatia,0,2010,UNKNOWN,HRV
Cuba,2,2010,0,CUB
Cyprus,0,2010,UNKNOWN,CYP
Czech Republic,0,2010,UNKNOWN,CZE
Denmark,0,2010,UNKNOWN,DNK
Djibouti,0,2010,UNKNOWN,DJI
Dominica,0,2010,UNKNOWN,DMA
Ecuador,0,2010,UNKNOWN,ECU
"Egypt, Arab Rep",0,2010,UNKNOWN,EGY
El Salvadar,0,2010,UNKNOWN,SLV
Equatorial Guinea,0,2010,UNKNOWN,GNQ
Eritrea,0,2010,UNKNOWN,ERI
Estonia,0,2010,UNKNOWN,EST
Ethiopia,0,2010,UNKNOWN,ETH
Fiji,0,2010,UNKNOWN,FJI
Finland,0,2010,UNKNOWN,FIN
France,0,2010,UNKNOWN,FRA
Gabon,15,2010,1,GAB
Gambia,0,2010,UNKNOWN,GMB
Georgia,0,2010,UNKNOWN,GEO
Germany,0,2010,UNKNOWN,DEU
Ghana,33,2010,2,GHA
Greece,0,2010,UNKNOWN,GRC
Grenada,0,2010,UNKNOWN,GRD
Guinea,29,2010,2,GIN
Guinea-Bissau,5,2010,0,GNB
Guatemala                         ,4,2010,0,GTM
Guyana,0,2010,UNKNOWN,GUY
Haiti,0,2010,UNKNOWN,HTI
Honduras,1,2010,0,HND
Hungary,0,2010,UNKNOWN,HUN
Iceland,0,2010,UNKNOWN,ISL
India,96,2010,3,IND
Indonesia,1,2010,0,IDN
"Iran, Islamic Rep.",1,2010,0,IRN
Iraq,0,2010,UNKNOWN,IRQ
Ireland,0,2010,UNKNOWN,IRL
Israel,0,2010,UNKNOWN,ISR
