SOx,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ABM,4446.923885,4600.483132,3901.538232,4370.149685,4107.627772,3984.791081,2767.417364,3022.205542,3057.085521,3091.964915,3294.754642,3255.011224,3215.240416,2828.597364,2442.054104,859.337368,859.3162268,859.2950855,859.3451,858.7786,858.8136,0.035,0.034,0.035,,,,
ALI,25540.31995,24427.32102,31614.40052,34721.76786,33235.69172,33232.1021,41243.25362,45320.15085,48909.72359,52266.40442,47377.92052,52846.97474,55393.49069,54879.72504,51823.56415,51695.59718,59247.97252,63443.88003,60986.54508,63692.14628,73700.3533,68242.087,65934.022,68189.895,64152.612,64684.76,70415.854,67424.801
ASI,2376.1869,2265.6534,2262.4145,2286.6963,2426.1723,2096.0729,1530.784122,1465.291502,1407.871946,1350.393089,1318.5218,1391.048192,1493.15351,1279.363467,1065.830064,1030.163,994.4830422,959.0278165,771.8161024,778.9544458,785.8413,183.68,224.03,173.74,161.71,145.73,,
API,168.0224898,174.1973159,182.0452416,190.1271065,191.8401377,190.6843273,309.0271697,1114.704037,1199.481767,1357.064459,1320.234106,1256.156707,1291.011001,1176.242271,1084.945014,801.35465,126.008894,114.4876904,922.3951502,821.2270373,813.2100427,712.686,825.0251817,927.0202444,760.5050191,826.2412191,955.8253154,675.2425
BAK,0.009,0.029,0.029,0.029,0.029,0.052763,0.05257911,0.052701751,0.053704276,0.055444431,0.055475,0.054048152,0.052208359,0.052274374,0.052397713,0.052253,0.029331934,0.017600699,0.048380158,0.019820881,0.158,0.151,0.001,,0.002,0.0042,0.006,0.0051
CACI,53022.30752,53097.00636,55037.57431,56947.32123,54678.21351,47563.17827,37907.73617,32966.08101,33866.38256,36178.27912,38517.80893,36039.0355,37750.43616,39204.38064,38948.86621,44449.04477,43605.55681,43010.08517,49345.52566,49293.26437,59822.09324,44216.76828,39414.724,31303.356,24576.824,23104.5728,21542.418,25516.5531
CHI,35015.83301,36058.80672,35066.13695,36465.55895,38238.89051,35294.93379,29980.01414,31177.95211,30573.81661,31325.4512,27773.44082,25349.57171,29033.34273,29245.15748,28857.34392,27430.65347,28032.02895,29979.56277,33170.5952,33834.65996,30355.95555,20565.31172,18260.895,17189.014,13871.274,15344.7184,16343.6981,14880.9208
MPI,2336.290893,1621.063385,1729.460469,1710.367292,1434.869507,1615.008332,1465.558236,1547.318119,1450.879586,1480.636773,1817.767334,1666.71748,1508.631992,1387.276576,1525.699545,1048.122029,1224.15845,1524.331446,1335.088651,1212.481404,1195.484734,1154.18,913.304,932.883,1505.661,1202.18,1398.008,1498.745
FOU,1709.233695,1484.91237,1415.234862,1454.344998,1366.28932,1314.211524,1182.786572,1236.152152,1187.641151,1144.011013,1187.3227,1076.208836,1086.146558,1095.488031,1093.519544,921.968159,830.6945268,753.2283337,788.224387,726.9239217,729.3650182,47.25182037,53.45661506,94.82171788,50.37825824,49.01837104,48.11862796,48.10617243
GRI,16.12813675,16.12958064,16.12872784,16.12720414,16.12602222,232.0744002,348.1759134,346.9051048,350.9435803,358.9401686,223.1172234,222.9835451,213.8523612,213.8519959,213.8285989,214.204196,269.0177026,323.8324425,216.8809984,225.9466156,388.693,795.876,210.413,212.872,582.272,659.8567,659.8567,660.5425
IASI,40489.00183,38305.62163,44899.80123,50919.29694,43885.69602,35850.81156,37188.9685,36187.57164,36606.62311,36634.66186,37701.92655,37825.63543,40650.95644,32064.2744,33279.52474,28917.39502,29032.35275,29173.27366,29327.17497,29930.42674,31252.5591,28475.99844,27900.363,26975.888,21762.532,27023.439,28695.21026,29911.1529
