pm10,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ABM,631.138832,621.66283,615.5412267,609.5636232,597.2512225,568.797401,545.007092,532.317666,522.395621,477.701958,461.19151,410.304196,377.151262,329.302088,281.537294,233.75209,260.2379014,292.7489302,248.309568,285.3032094,266.6714663,12.967,13.509,13.937,9.442,6.282,7.71,7.55
ALI,8251.215346,8244.076107,8236.946864,8230.782039,8222.940053,8225.709184,8952.232332,8389.238777,8060.902242,7955.275702,8301.289696,7986.299431,8189.208355,8264.935274,8100.145239,8041.874382,8522.236924,8129.474419,7742.943886,6778.134039,6493.12318,6071.329,6617.693,7076.404,6279.334,5869.1127,5774.12,6022.53
ASI,2266.892516,2088.872394,1910.852272,1732.83215,1554.812028,1376.791906,91.06081081,89.97450018,90.90355875,91.13274968,91.0192955,88.03255367,84.0962534,80.7600497,78.6783708,76.987716,78.6663088,80.56991471,73.54623993,70.85460764,67.95289599,18.84,20.982,27.681,23.092,16.74,,
API,8548.287451,8086.099836,8834.609275,8909.3603,8382.792124,8324.239196,7402.72683,11079.31589,9974.788912,10581.86901,10251.18713,10215.23407,11697.63526,11570.45515,11621.39806,9037.042921,6350.561996,6424.334588,9783.931167,8062.184093,8951.453556,8021.828764,7967.282485,8224.785022,7607.704247,7612.432335,10514.24554,7607.70616
BAK,0.929762247,0.948556324,1.037950768,1.02658356,1.03738858,1.134080856,1.220500206,1.075875486,1.13952349,1.133495503,1.091359486,1.238038998,1.105179217,1.020215259,0.960022253,1.171005246,0.958269868,1.064142651,1.276679644,1.2947388,1.049345246,0.567,0.579,3.146,1.843,3.3997,9.82,2.15
CACI,19680.95674,19767.77958,21343.50059,20507.98113,20581.07638,19084.21739,16088.21673,14762.01566,15418.10283,16595.91296,15333.25084,16224.6813,16944.10214,17625.68331,18097.79189,17565.32685,17424.28944,18434.90969,20416.16188,21796.51358,24365.49824,21216.04172,18938.05042,17664.91533,16654.56234,13497.52343,14054.37922,15304.18933
CHI,9570.836558,8160.075256,8091.020622,8235.113168,8106.020959,8582.605585,8605.005668,8488.148196,8559.68649,9109.014125,8567.294003,8999.074688,8946.77896,8834.244408,8711.113626,9176.058066,9453.940865,9633.662397,10011.66409,9585.798008,8555.526444,2975.212231,3376.645311,2676.260985,2858.388135,2623.184509,6111.260158,2809.380225
MPI,1565.151,1501.559207,1505.623597,1444.394343,1366.538478,2176.676645,1858.801632,1748.340753,1729.955401,1779.946154,1781.524606,1842.25953,1679.037113,1848.297455,1690.350864,1624.013997,1450.502293,1442.187566,1877.368609,1798.925318,1850.481347,863.5362978,925.193526,903.5126056,1000.998283,659.3875254,572.2280066,461.9921291
FOU,6138.865507,5433.637125,5813.048303,6055.32329,5292.316368,6683.768868,5806.843931,5797.22209,5121.538814,4740.757186,5527.826844,5728.194882,5946.36782,5192.913485,4601.119093,5563.030508,5399.673901,5510.407386,5806.38834,6615.349764,6285.363727,5644.463789,6366.642768,6161.76603,5966.854043,5855.779519,5758.383719,5687.183783
GRI,13828.35106,14432.26747,15141.681,15349.611,15652.9204,15983.42301,16436.2344,16595.70978,16676.06404,17236.08725,17242.12823,16448.59008,15555.61051,14524.4617,13662.96905,13033.44636,11456.14183,9895.061416,10953.89331,11558.31301,11879.47181,12129.26861,12865.32859,12018.41365,12220.64149,13993.4324,14365.55815,14675.63
