tpm,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ABM,1515.810975,1509.766785,1313.264042,1424.963719,1388.996085,1342.465522,1134.509711,1064.669033,1064.807071,981.8076844,1002.158323,1008.558493,955.1246285,892.1300712,836.1325115,390.988891,365.0271796,404.2015322,371.8552263,375.5725887,323.879268,15.40285386,16.04666869,16.55506858,11.21568182,7.462075112,9.158325233,8.968269197
ALI,19617.27913,18435.64135,18524.21215,18208.08526,18626.21404,18262.37189,17327.61648,14753.72885,14210.51648,13931.07994,12442.0176,12920.00362,14273.75777,13730.52655,12819.17764,12918.90972,13138.46615,11960.84334,12057.37933,10584.27111,10611.96144,10332.857,10622.13912,11043.05336,9817.856,9429.1496,8524.24,9653.6
ASI,4156.7319,3820.5414,3492.1211,3166.6071,2849.8612,2497.4947,140.3629453,133.4236244,138.1088366,141.5676355,134.9717,145.7317467,154.7789427,122.7578757,105.1218742,97.0138,102.9700571,109.1607028,105.7256666,102.3864663,98.82843333,54.80560161,68.914,80.665,103.662,84.93,,
API,48555.16035,44668.21245,49872.74226,49547.58661,45837.20855,48433.26871,42264.29743,52562.80091,46582.09914,50209.88176,48250.58769,47838.27332,55255.44506,54287.82287,54483.97754,41981.93562,34806.52429,33395.31361,45403.24355,39328.82889,41318.83948,40203.02975,40108.18034,41107.09802,38272.92773,38119.23908,53248.74328,38274.09904
BAK,0.942776914,1.043776914,1.043776914,1.043776914,1.043776914,1.077412914,1.071292386,1.074162013,1.078940429,1.085466699,1.081083914,1.076602817,1.075373956,1.075641783,1.076916279,1.075420914,1.020328458,1.003164329,1.086704243,0.994880583,0.952776914,0.567,0.579,3.146,1.843,3.3997,35.84,2.15
CACI,52694.63959,51543.80057,59159.46142,54882.57901,56380.36255,52258.69774,44385.47982,40273.22626,42415.16946,45693.43598,41921.99364,43784.53331,44734.13289,45560.19293,46468.71918,46777.17407,49453.15034,53646.72596,58054.07301,61446.49995,69381.83752,59179.84046,53750.86613,51986.67718,50515.22166,39487.7125,40582.88151,45304.17307
CHI,20549.81523,19862.29113,19628.72078,19392.3184,19236.31295,16911.13693,17002.17554,16701.91238,17389.88517,16770.61991,15680.69612,15909.99062,17594.00073,17023.49263,16781.2298,18828.40459,17866.36938,17823.94174,18570.57665,18186.16602,16686.09938,3775.624844,3802.41186,3779.286806,3941.363147,3342.464002,3693.089859,3980.116998
MPI,4597.377263,4717.742826,5177.624604,5196.044423,5041.120252,4330.110996,3665.248792,3341.695767,3236.405608,3197.949236,3254.612339,3246.066935,3195.15013,3052.491549,2949.892966,2697.760203,2255.414926,2352.940487,2818.470977,2551.421916,2630.68251,1115.448672,1352.39815,1209.166272,1291.809782,971.3973997,778.1802086,556.328273
FOU,8902.694512,8059.205195,8323.921847,8647.079363,7464.954229,9481.522339,8318.835913,8236.771604,7523.569052,7155.610359,7296.641939,7430.417773,7793.046645,7044.893476,6374.946773,7299.919729,6209.858481,6298.709638,7222.789662,6487.001599,6761.156471,6034.558239,6874.816723,6569.226852,6394.917002,6241.824267,6126.4669,6063.534043
GRI,64949.1816,67388.37655,70065.49273,71483.06732,73126.7464,74818.38785,76154.13649,76824.06829,77257.02802,78851.48863,79137.78505,73533.84933,67785.70494,61669.55825,56096.28213,50680.9371,43224.68211,35826.84003,39053.22013,42806.02813,46039.23605,48703.83269,51097.78245,47921.49752,48389.14834,52412.19469,53659.33689,55518.61796
IASI,34452.11821,32251.80658,32765.50895,36290.3966,41592.42906,35143.01228,26937.1434,20950.61906,27169.32,27201.21425,22703.01443,26018.58609,27350.36222,17897.10726,18670.57002,19704.99449,17290.82865,14888.33008,13713.12652,12927.67594,13065.75322,6895.176876,6510.978487,6621.838316,4657.779206,5733.333697,6204.917865,8298.433727
IOMI,60390.21607,55103.05476,49905.54261,49887.1999,46984.09552,40193.01628,34782.68479,25428.0423,23592.06521,21067.13812,18087.83803,18189.42065,18313.29327,16596.04662,13640.22997,14183.77523,10333.22545,7841.554,9860.349,9683.343,9506.337,15730.586,14057.755,12468.054,8956.432,11858.8332,9230.22,12205.55
MARQ,186442.1308,201505.7805,197813.6381,225301.0013,213980.608,217805.5809,195325.1005,195602.8736,182355.8469,183479.2449,178899.169,178270.8649,176787.8928,178360.878,172084.4222,158842.604,156444.0528,156493.6259,149937.6302,168260.2857,158830.9016,193062.5489,206791.9441,181596.8209,174544.9561,209778.3879,222403.173,194344.7111
NSRI,16653.55361,17841.87727,17367.85729,19367.40265,17844.41873,19217.39332,18827.3393,18215.35635,17819.90335,16525.86663,15247.15755,16124.93792,16359.59652,16036.71863,15692.8397,14816.60501,12782.12528,10920.0631,9578.054344,12914.26269,10486.27123,9286.960238,8082.813126,6557.73211,4803.256962,5470.465451,4044.841933,4694.012244
PAPI,115107.0657,127300.0948,124758.5618,118764.825,149182.6574,152556.9818,130905.0032,105611.8149,100354.2316,95890.97207,75758.73699,70540.08973,64130.06047,55827.96175,53919.52933,49127.32954,45429.83179,40544.55631,41196.84485,38860.43468,37845.90983,25441.32652,22899.78164,23731.78132,17723.32559,16889.44118,18067.1557,16295.37476
WOI,147978.0929,144202.331,167134.7044,173749.2957,171835.0108,173195.4636,162591.5031,176969.0165,168835.6818,165531.6022,176298.9769,190119.5415,147246.4883,138186.2738,137209.3702,162363.2215,127897.3614,114240.7212,104518.1495,104948.6404,102611.5859,66332.46897,30065.19377,19740.36549,20453.04835,19060.86666,56760.24278,61888.96143
UPI,10855.66289,10358.7268,10918.89523,12161.89828,10896.16972,11738.49608,11059.95864,11099.35653,12219.95632,13076.83927,13477.83834,13711.48349,14068.94503,12627.80361,11224.95524,13273.51825,13095.88265,14032.87732,15002.40098,14366.63453,14949.7355,18591.78817,17093.7114,16558.01901,13080.85979,12866.25368,12839.05734,13005.94149
